Investor name,Website,Linkedin,Individual LinkedIn,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
Sente Foundry,https://sente.link,https://www.linkedin.com/company/sente,,"222 W. Merchandise Mart Plaza, Suite 570, Chicago, IL 6054 U.S.A.","Canada,USA,Turkey,Israel,UK,Netherlands,Portugal,India,Singapore,Spain,Greece,Finland,Ukraine,Lebanon,Slovenia,Bosnia-H,Croatia,Taiwan,Germany,France,Poland,Ireland,Tunisia,Algeria,CÃ´te d'Ivoire,Japan","2. Prototype,3. Early Revenue","We invest in urban mobility/logistics, human essentials, and industrial circular economy in collaboration with corporations and family offices that are looking for opportunities in the global ecosystems. We are looking for startups at MVP stage (not earlier) and at zero or minimal revenue.",Corporate VC,"$75,000 ",
Sequitur Capital,http://www.sequitur-capital.com/,https://www.linkedin.com/company/sequitur-capital,,Italy,USA,3. Early Revenue,,VC,,
Sequoia Capital,https://www.sequoiacap.com/,https://www.linkedin.com/showcase/sequoia-india,,"Menlo Park, California, United States","USA,France,India,China,Israel,Canada","3. Early Revenue,4. Scaling",,VC,,
Seraph Group,https://www.seraphgroup.net/,,,,,,,Angel network,,
Serena,https://www.serena.vc/,https://www.linkedin.com/company/serenavc/,https://www.linkedin.com/in/sebastienleroy1/,"21, rue Auber 75009 Paris France",France,"3. Early Revenue,4. Scaling","We invest in four to five teams per year and focus on helping them reach their maximum potential. We are not looking for early exits. We back Europe-based entrepreneurs willing to build continental or worldwide category leaders. We strongly prefer to lead or co-lead rounds.

Seed to Series B, with check size ranging from â‚¬200K to â‚¬15 million for our first ticket.

We are not industry-specific as long as your business model is scalable and your product is digital. We have a special affection for DeepTech, enterprise software, marketplaces, and entertainment. We usually do not consider CleanTech & MedTech investment unless there is a special twist.

Our focus is primarily in France, although we are able to invest (and have already done so) in exceptional teams from Europe and the US.",VC,"$200,000 ",
Serena Ventures,https://www.serenaventures.com/,,,,,"2. Prototype,3. Early Revenue",,VC,,
Serra Ventures,https://serraventures.com/,https://www.linkedin.com/company/serra-ventures,,,,,,,,
ServiceNow Ventures,https://www.servicenow.com/company/ventures.html,https://www.linkedin.com/company/servicenow,,,,,,Corporate VC,,
Sesame Ventures,http://www.sesameworkshop.org/sesame-ventures/,,,"New York, New York, United States",USA,,,Corporate VC,,
SET Ventures,http://www.setventures.com/,https://www.linkedin.com/company/setventures/,,Keizersgracht 756 1017 EZ Amsterdam The Netherlands,"Israel,Netherlands,UK",3. Early Revenue,"We invest in Smart Energy System Solutions:
business cases involving intelligent software and/or services, combined with hardware components, impacting the future energy system
We classify these investment opportunities as Smart Energy System Solutions

This integration between Generation, Use, Storage and Transmission is being facilitated by the digitalisation of the energy industry

We look for innovative European startups entering their growth-stage, with scalable smart energy business models that can impact the energy system transition.
We Invest on average â‚¬6M per company to activate and support their growth",VC,"$500,000 ",
Seven Peaks Ventures,http://sevenpeaksventures.com/,https://www.linkedin.com/company/3587061/,,,,,,,,
Seventure - Digital Technologies,http://www.seventure.fr/en/,https://www.linkedin.com/company/seventure-partners/,,"5-7 rue de Monttessuy, Paris, 75007, FR","France,Germany","3. Early Revenue,4. Scaling,2. Prototype","We invest in companies with a B2B business and in the following sectors:

- Fintech (including insurtech): Our investments focus on four sectors: software and services for financial players (asset management, back-office, scoring, big data, etc.), software and services for non-financial players (financial product comparators, personal finance tools, company financial management software, etc.), payments and money transfers (online and mobile payment solutions, money transfers, virtual currency, etc.) and technological solutions (security software, authentication solutions, dematerialization solutions, etc.)

- Innovative services: Target companies will be those with the capacity to reach customers directly via internet and mobile, for example, those whose product or service disintermediates the value chain of an economic activity, such as collaborative platforms for exchanging or lending material goods or services (cars, parking places, storage places, housework, testing and testing of software or applications, etc.), marketplaces, etc.

- SaaS (Software as a Service) software vendors: Targets will be SaaS software companies in vertical markets, for example, human resources management, big data, marketing, e-learning or supply chain management.

Seventure Digital technologies team supports the development of companies in various stages of development â€“ from seed ventures to late stage companies.  We currently invest â‚¬1-5 million per financing round, and up to â‚¬10 million in several rounds.

Seventure Digital technologies team is based in Paris and has a presence in our Hanover office. Seventure Digital technologies team invests mainly in France and Germany.",VC,"$1,000,000 ",
Seventure - Life Sciences,http://www.seventure.fr/en/,https://www.linkedin.com/company/seventure-partners/,,"5-7 rue de Monttessuy, Paris, 75007, FR","France,Germany,USA,Canada,Belgium,Japan,Israel,Netherlands,UK","3. Early Revenue,4. Scaling,2. Prototype","We invest in the following sectors :

- Microbiome* applications in all fields (human, animal, plantâ€¦)
- Connected-health, digital-health, digital-food / nutrition
- Foodtech and innovations in the food sector including enabling and manufacturing technologies
- Medtech and diagnostics
- Biotech and pharmaceuticals
- Industrial biotech
- Agtech

We support the development of companies in various stages of development â€“ from seed ventures to late-stage companies.  We currently invest â‚¬1-10 million per financing round, and up to â‚¬20 million in several rounds.

Seventure Life sciences team is based in Paris, London, Bales, Geneva, and Munich, and invests in Europe, North America, and Asia.",VC,"$1,000,000 ",
Seventure - Sport & Well-Being,http://www.seventure.fr/en/,https://www.linkedin.com/company/seventure-partners/,,"5-7 rue de Monttessuy, Paris, 75007, FR",France,,,VC,,
SevenVentures,http://sevenventures.de,https://www.linkedin.com/company/10262962,,"UnterfÃ¶hring, Bayern, Germany",Germany,,,Corporate VC,,
Seyen Capital,http://seyencapital.com/,,,,,,,,,
SFINE - SociÃ©tÃ© de Financement de l'Innovation NumÃ©rique en Essonne,https://www.sfine.website/,https://www.linkedin.com/company/sfine/,,"19, Avenue de SÃ©nart 91230 Montgeron, IDF, France",France,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in early-stage French startups with a focus on healthcare, deep learning, and environment.",Angel network,"$25,000 ",
SG Incubate,https://sg-incubate.jp/,,,,Japan,,,Corporate VC,,
SG VC,http://www.sg-vc.com,https://www.linkedin.com/company/group11,,,,,,,,
SGH Capital,https://www.sghcapital.com/,https://www.linkedin.com/company/sgh-capital/about/,,Luxembourg,"India,USA",3. Early Revenue,,VC,,
SGIF Sports Gaming Investment Fund,https://www.sgif.vc/,,,,,"2. Prototype,3. Early Revenue",,VC,,
SGInnovate,https://www.sginnovate.com/,http://www.linkedin.com/company/sginnovate,,Singapore,Singapore,3. Early Revenue,,VC,,
Shadow Ventures,https://shadow.vc,https://www.linkedin.com/company/shadowvc,,"3340 Peachtree Rd NE, Suite 1010, Atlanta, GA 30326","USA,Canada","3. Early Revenue,4. Scaling,2. Prototype","We invest in prop tech, design tech, and construction tech seed-stage startups with defensible technology.",VC,"$250,000 ",
Shamrock Capital,https://shamrockcap.com/,,,"1100 Glendon Ave #1600, Los Angeles, CA 90024",USA,5. Growth,"Shamrock is flexible in the structuring of investments. Given our focus on growing businesses that are often at an inflection point in their lifecycle, we look to provide an investment structure that best allows the portfolio company to achieve its potential. We are comfortable as both majority and minority investors. Regardless of the type of investment, Shamrockâ€™s role as a value-added, active partner remains consistent.

Growth Equity: Companies seeking expansion capital.
Buyouts & Recapitalizations: Providing shareholders liquidity.
Investment Criteria
Shamrock looks to invest in companies with strong management teams and attractive business models that are poised for growth. We typically look to generate returns over a three to seven year time horizon. In general, Shamrockâ€™s investment criteria can be summarized as follows:

Industry Focus: Media, Entertainment and Communications
Investment Size: $15 million to $100 million of equity
Investment Type: Lead investor in a controlling or minority position, including Growth Equity, Buyouts and Recapitalizations.
Investment Qualities:
 Competitive differentiation
 Market leadership
 Strong growth prospects
 Operating leverage
 Management and ownership alignment",VC,"$15,000,000 ",
Shamrock Israel Growth Fund,http://shamrockisrael.com,,,,,"5. Growth,6. Pre-IPO",,VC,,
Shanda Capital,http://www.shandacapital.com.cn/,,,"Shanghai, Shanghai, China",China,,,Corporate VC,,
Shanda Group,http://www.shanda.com,https://www.linkedin.com/company/shanda-group/,,"Menlo Park, California, United States",USA,,,Family office,,
Shape VC,http://www.shape.vc/,https://www.linkedin.com/company/shapevc/,,"al. 3 maja 9, 30-062 KrakÃ³w, Poland","Poland,Ukraine,Latvia,Lithuania,Slovakia,Slovenia,Czech Republic,Belarus","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in seed and early-stage companies with R&D component up to 250,000 EUR and we take startups from pre-traction to product-market fit.",VC,$0 ,
Shapr Ventures,https://shapr.co/fr/shapr-ventures/,https://www.linkedin.com/showcase/shapr-ventures/,,"21 Rue Vernet, 75008 Paris, France",France,"3. Early Revenue,2. Prototype,1. Idea or Patent",We invest in early-stage tech companies legally based in France. We are sector agnostic and write cheques ranging from 300k to 1Mâ‚¬. Our portfolio companies get access to the whole Shapr ecosystem for free.,VC,"$350,000 ",
Shared Interest,https://www.sharedinterest.org/,https://www.linkedin.com/company/shared-interest/,,,South Africa,,,Other,,
Shareline,https://shareline.co/,https://www.linkedin.com/company/shareline,,"Inniscarra Main Street, Rathcoole Co. Dublin, Ireland","UK,Ireland,France,Germany,USA,Canada,Sweden,Estonia,Italy,Spain,Israel","5. Growth,6. Pre-IPO",We invest in global private technology leaders (series C+ to pre-IPO) and provide liquidity to early shareholders and employees or fund the allocation of early investor in late-stage rounds.,Angel network,"$500,000 ",
Sharpstone Capital,https://sharpstone-capital.fr/,https://www.linkedin.com/company/sharpstone-capital/,,"10 Bis Rue LÃ©opold Bellan, 75002 Paris, France",France,"2. Prototype,3. Early Revenue","We invest in French-based startups with strong technological foundations, whatever the industry, from Pre-Seed to Seed (supporting investors). 

Our goal is to be the first institutional investor for early-stage startups. Thanks to Sharpstone Advisory, our consulting business unit, we are able to evaluate the future potential of projects at a time where they have very limited metrics. ",VC,"$50,000 ",
Shasta Ventures,http://shastaventures.com/,https://www.linkedin.com/company/shasta-ventures,,"Menlo Park, California, United States",USA,3. Early Revenue,,VC,,
Shavit Capital Fund,http://www.shavitcapital.com,,,,,"5. Growth,6. Pre-IPO",,VC,,
SheEO World,https://sheeo.world/,https://www.linkedin.com/posts/sheeo-world_there-are-so-many-innovative-ideas-we-don-activity-6592106236282486784-Nvdy/,,,,,,VC,,
Shefa Capital,https://www.shefacap.com/,,,,,"5. Growth,6. Pre-IPO",,VC,,
Shell Ventures,https://www.shell.com/energy-and-innovation/innovating-together/shell-ventures.html,//www.linkedin.com/company/shell,,"Rijswijk, Zuid-Holland, The Netherlands","USA,Israel,Canada,Netherlands",3. Early Revenue,,Corporate VC,"$2,000,000 ",
Shenton Venture,https://www.shentongroup.com/,https://www.linkedin.com/company/wix-com,,,UK,,,VC,,
Shenzen Valley Ventures,https://svv.io/,,,China,"USA,China",,,VC,,
Shenzhen Co-Win Venture Capital,http://www.cowincapital.com.cn/english/,,,,,,,VC,,
Sherpa Capital Entidad Gestora,https://www.sherpacapital.es/,,,,UK,,,VC,,
Sherpa InnoVentures,http://www.sherpa-innoventures.com,,,,,"3. Early Revenue,4. Scaling",,VC,,
SheStarts,https://www.shestarts.com/, https://www.linkedin.com/company/shestarts,,,,,,"Incubator, Accelerator",,
Shibumi International by GÃ¼lermak Heavy Industries Construction and Contracting,http://www.shibumi-international.com/,https://www.linkedin.com/company/shibumi-international,,UAE,USA,"2. Prototype,3. Early Revenue",,Corporate VC,,
Shift Invest,https://shiftinvest.com/home,https://www.linkedin.com/company/shift-invest,,Netherlands,Netherlands,3. Early Revenue,,VC,"$250,000 ",
Shine Capital,https://www.shine.vc,https://www.linkedin.com/company/shinecapital/,,"New York, NY, USA","USA,UK,Israel","3. Early Revenue,2. Prototype",We invest in relentlessly creative entrepreneurs who are transforming how we live and work.,VC,"$50,000 ",
Shinkin Capital,http://www.shinkin-vc.co.jp/,,,,Japan,,,VC,,
Shinsei Corporate Investment,http://www.shinsei-ci.com/en/index.html,,,,Japan,,,VC,,
Shoreline Ventures,https://shorelineventures.com/,,,USA,"USA,Canada",3. Early Revenue,,VC,"$250,000 ",
Shortcut Ventures,http://www.shortcut.vc/,,,,,,,VC,,
Shrug Capital,https://shrug.vc/,,,,"USA,France,UK,Germany",,,Other,,
SHS Ventures,http://www.stahl-holding-saar.de,https://www.linkedin.com/company/shs-ventures,,"VÃ¶lklingen, Saarland, Germany",Germany,,,Corporate VC,,
Shunwei Capital,https://shunwei.com/,https://www.linkedin.com/company/6651964,,,,"4. Scaling,5. Growth",,VC,,
SHV Sutter Hill Ventures,https://www.shv.com/,,,"Palo Alto, California, United States",USA,,,Other,,
SIBF VC,https://sibf.vc/,https://www.linkedin.com/company/ovotechnology/,,,,"2. Prototype,3. Early Revenue",,VC,,
Side Capital,http://www.side-capital.com/,https://www.linkedin.com/company/side-capital/,,"40, rue du ColisÃ©e 75008 Paris",France,3. Early Revenue,"We invest in software and digital products. 

We like to be an only investor in seed rounds from 300k EUR to 600k EUR",VC,"$350,000 ",
SideCar Angels,http://www.sidecarangels.com/,,,,,,,Angel network,,
Sidewalk Labs,https://www.sidewalklabs.com/,https://www.linkedin.com/company/sidewalk-labs,,,,,,VC,,
Siemens Technology Accelerator,https://new.siemens.com/global/en/products/services/technology-accelerator.html,https://www.linkedin.com/company/siemens,,"Munich, Bayern, Germany",Germany,,,Corporate VC,,
Sierra Angels,http://www.sierraangels.com/,,,,,,,Angel network,,
Sierra Ventures,https://www.sierraventures.com/,https://www.linkedin.com/company/sierra-ventures,,"1400 Fashion Island Blvd, San Mateo, California, United States","USA,Mexico,Canada,India,Israel,UK","2. Prototype,3. Early Revenue,4. Scaling","We invest in early-stage Enterprise Software and Deep Tech companies. We focus on Pre-Seed, Seed, and Series A companies with initial check sizes ranging from $500K - $6M. We look for product-market fit, a strong understanding of the customer, and initial revenue. We invest in 15-20 companies each year and prefer to lead. 

Our 2 investment areas: 

- Next-generation enterprise: AI/ML, Big Data, Cloud, FinTech, Healthtech, IoT, Infrastructure, Marketplaces, SaaS/Enterprise app, Security

- Emerging technologies: 5G/Wireless, VR/AR, Blockchain, Robotics, Devices

More about our thesis can be found at www.sierraventures.com/thesis",VC,"$500,000 ",
Sierra Wasatch Capital,https://www.sierrawasatch.com/,,,,,,,,,
SIG Venturesâ€‹,http://www.sig-china.com/,,,,Hong Kong,,,VC,,
Sigma Partners,https://www.sigmapartners.com/,,,"Boston, Massachusetts, United States",USA,,,Other,,
Signal Fire,https://www.signalfire.com/,https://www.linkedin.com/company/2890585/,,"San Francisco, California, United States",USA,3. Early Revenue,,VC,,
Signal Ventures,https://signal.vc/,,,Singapore,Australia,,"Signal Ventures is an investment firm specializing on technology in emerging cryptocurrencies.

We invest in early stage blockchain startups and decentralized protocols.",VC,,
Signals Pre-Seed,https://hellosignals.com/signals-pre-seed-program,https://www.linkedin.com/company/hellosignals/,,"Am Nordbahnhof 3, 10178 Berlin, Germany","Germany,Austria,Switzerland","2. Prototype,3. Early Revenue",We invest in B2B software-based solutions for small and medium-sized businesses as well as in category-defining solutions for enterprises. We look for complementary founding teams with an existing MVP that are generating initial traction in the DACH region.,Corporate VC,"$120,000 ",
Signals Venture Capital,http://www.signals.vc/,https://www.linkedin.com/company/signals-vc/,,"Am Nordbahnhof 3 , Berlin 10115, Germany","Germany,Austria,UK,Switzerland,Israel,France,Denmark,Norway,Sweden,Finland,Poland,Estonia,Spain,Portugal,Netherlands,Belgium,Latvia,Lithuania,Ireland,Czech Republic,Greece,Hungary,Italy","3. Early Revenue,4. Scaling,2. Prototype,5. Growth","We invest in B2B software-centric business models across all enterprise segments.

Geography: Focus on Europe
Stage: Seed, Series A
Investments: â‚¬1m to â‚¬5m",VC,"$1,200,000 ",
Signet Healthcare Partners,http://www.signethealthcarepartners.com/,,,,USA,,,Other,,
Signia Venture Partners,http://signiaventurepartners.com/home/,http://www.linkedin.com/company/signia-venture-partners,,USA,USA,3. Early Revenue,,VC,,
Silas Capital,https://www.silascapital.com/,,,,,"3. Early Revenue,4. Scaling",,VC,,
Silicon Badia,https://www.siliconbadia.com/,https://www.linkedin.com/company/silicon-badia,,,,,,VC,,
Silicon Catalyst Angels,http://www.siliconcatalystangels.com/,,,,,,,Angel network,,
Silicon Couloir Angel Network,https://www.siliconcouloir.com/,https://www.linkedin.com/company/silicon-couloir/?viewAsMember=true,,,,,,Angel network,,
Silicon Gardens Fund,https://silicongardens.si/,https://www.linkedin.com/company/silicon-gardens-fund-ii/about/,,,,,,VC,,
Silicon Pastures,http://www.siliconpastures.com/,,,,,,,Angel network,,
Silicon Road Ventures,https://siliconroad.vc/,https://www.linkedin.com/company/siliconroadusa/,,,,"2. Prototype,3. Early Revenue",,VC,,
Silicon Valley Connect,http://www.siliconvalleyconnect.com/,,,,,"2. Prototype,3. Early Revenue",,VC,,
Silk Capital,https://www.silkcapital.net/en/,,,Uzbekistan,Uzbekistan,,,VC,,
Silver Lake Partners,https://www.silverlake.com,https://www.linkedin.com/company/silver-lake-partners/,,"2775 Sand Hill Road, Suite 100, Menlo Park, CA 94025, US",USA,5. Growth,"We invest in scaled technology and tech-enabled businesses. We are a growth-oriented, value-add investor.",PE fund,"$100,000,000 ",
Silver Sail Capital,https://www.silversailcapital.com/,,,,,,,,,
Silverton Partners,https://www.silvertonpartners.comhttps://www.silvertonpartners.com/,,,"Austin, Texas, United States",USA,,,Other,,
Simon Equity Partners,http://simonequity.com,https://www.linkedin.com/company/simon-equity-partners/about/,,"San Francisco, California, United States",USA,,,Family office,,
Simon Venture Group,http://www.simonventuregroup.com/,,,,,,,VC,,
Simon Ventures,http://simonventures.co/,,,"New York, New York, United States",USA,,,Corporate VC,,
Sinai Ventures,https://sinaivc.com/,https://www.linkedin.com/,,USA,USA,3. Early Revenue,,VC,,
Sinclair Digital Ventures,http://sinclairvc.com,https://www.linkedin.com/company/7525,,"Seattle, Washington, United States",USA,,,Corporate VC,,
Sinewave Ventures,https://sinewave.vc/,https://www.linkedin.com/company/sinewave-ventures/,,,,,,,,
Singtel Innov8,http://innov8.singtel.com/,https://www.linkedin.com/company/singtel-innov8,,"Singapore, Central Region, Singapore","USA,Israel,Canada,Singapore",3. Early Revenue,,Corporate VC,,
Singulariteam,http://www.singulariteam.com/,,,,,"2. Prototype,3. Early Revenue,4. Scaling",,VC,,
Singularity University Ventures,http://su.org/ventures,https://www.linkedin.com/company/singularity-university,,USA,"USA,Israel,Canada",2. Prototype,,VC,,
Sinovation,http://www.sinovationventures.com/,https://www.linkedin.com/company-beta/740432/,,,China,"2. Prototype,3. Early Revenue",,Other,,
Siparex,https://www.siparex.com/en/,https://fr.linkedin.com/company/siparex,,France,France,"3. Early Revenue,4. Scaling",,VC,"$300,000 ",
Sirius Venture Partners,http://www.sirius-venture.com/,,,,,,,VC,,
Sisu Game Ventures,https://sisugameventures.com/,,,,,,,Other,,
Sitra,http://www.sitra.fi,http://www.linkedin.com/company/sitra,,"Helsinki, Southern Finland, Finland",Finland,,,Corporate VC,,
Situlus Holding,https://www.situlus.at/,,,Austria,"Germany,Austria,Switzerland",3. Early Revenue,,VC,"$500,000 ",
SixThirty,https://sixthirty.co/,https://www.linkedin.com/company/sixthirty-global-fintech-seed-fund/,,"St Louis, Missouri, United States",USA,,,Other,,
SJ Strategic Investment,http://www.sjinvestments.net,,,"Santa Monica, California, United States",USA,,,Family office,,
SJF Ventures,https://sjfventures.com/,https://www.linkedin.com/company/sjf-ventures,,,,"3. Early Revenue,4. Scaling",,VC,,
SK Telecom Ventures,https://www.skta.com/cvc/,http://www.linkedin.com/company/sk-telecom-ventures,,"Sunnyvale, California, United States",USA,3. Early Revenue,,Corporate VC,"$1,000,000 ",
Skip Capital,https://www.skipcapital.com,https://au.linkedin.com/company/skip-capital,,Australia,Australia,,,VC,,
Sky Fund,http://skyfund.co.il/,,,,,"5. Growth,6. Pre-IPO",,VC,,
Skycatcher,https://skycthr.com/,,,,,,,Other,,
Skyfall Ventures,https://www.skyfallventures.no/,,,Norway,Norway,3. Early Revenue,,VC,,
Skyview Ventures,https://skyviewventures.com/,https://www.linkedin.com/company/skyview-ventures/,,"Nashville, TN 37212, US","USA,Canada",3. Early Revenue,We invest in renewable energy and energy efficiency start-ups across North America. Our investments fall along four themes: environmental commodities; distributed generation; electric vehicle infrastructure; and early-stage startups.,VC,,
Slack Fund,https://slack.com/developers/fund,https://www.linkedin.com/company/tiny-spec-inc/,,"Daly City, California, United States",USA,,,Corporate VC,,
Slater Fund,https://slaterfund.com/,https://www.linkedin.com/in/thorne-sparkman-3732311/,,USA,USA,3. Early Revenue,,VC,,
Slingshot Capital,https://www.slingshot.ventures/,https://www.linkedin.com/company/17920758,,,Netherlands,"2. Prototype,3. Early Revenue",,VC,,
SLO Seed Ventures,http://www.sloseedventures.com/,,,,,,,Angel network,,
Slow Ventures,http://www.slow.co/,,,USA,USA,3. Early Revenue,,VC,,
Small World Group,https://smallworldgroup.com/,,,USA,"Singapore,USA",,,VC,"$50,000 ",
SmartCap,http://www.smartcap.ee/,https://www.linkedin.com/company/5115128/admin/,,,,,,VC,,
SmartFin Capital,https://smartfinvc.com/,https://www.linkedin.com/company/smartfinvc/,,,UK,,,VC,,
SmartGateVC,https://www.smartgate.vc/,https://www.linkedin.com/company/smartgate.vc/,,"Hero House at HyeRise 326 Mira Loma Ave, Glendale, CA 91204","Armenia,USA,Ukraine,Belarus,Poland,Russia","2. Prototype,3. Early Revenue","We invest pre-seed in AI infrastructure, AI-enabled devices/IoT and SaaS, as well as ventures on the intersection of AI with Healthcare / Life Sciences.",VC,"$25,000 ",
Smash Ventures,https://smash.vc/,https://www.linkedin.com/company/smashventures/,,,,,,Other,,
SMBC Venture Capital,http://www.smbc-vc.co.jp/,,,Japan,Japan,3. Early Revenue,,VC,,
Smedvig Capital,https://smedvigcapital.com/,https://www.linkedin.com/company/smedvig-capital,,"Ryger House, 11 Arlington Street, London, SW1A 1RD, GB","UK,Norway,Denmark,Sweden,Finland,Netherlands,Iceland","4. Scaling,5. Growth","We invest in the best tech-enabled businesses in the UK, Nordics & Netherlands, leading rounds at Series A/B.",VC,"$3,000,000 ",
Smok Ventures,https://smok.vc,https://www.linkedin.com/company/smok-ventures/,,"ul. Bohomolca 15, Warsaw, Poland","Poland,Estonia,Ukraine,Lithuania,Latvia","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in pre-seed and seed stage CEE-based startups building future industry leaders in software and gamedev space.,VC,"$50,000 ",
SnÃ¶ Ventures,https://sno.vc,https://www.linkedin.com/company/snovc,,"Bryggegata 3, 0250 Oslo, Norway","Norway,Sweden,Finland,Denmark,Iceland","3. Early Revenue,4. Scaling,5. Growth","We invest in early stage, high-growth Nordic tech companies with the potential to disrupt, create or capture large markets through transformative technology or solutions.Â ",VC,"$600,000 ",
Snowasis Capital,http://www.snowasis.com,https://www.linkedin.com/company/snowasis,,"Ashburn, Virginia, United States",USA,,,Family office,,
Soar Capital,https://www.soarcap.com/,,,"Los Gatos, California, United States",USA,,,Family office,,
Social Leverage,https://www.socialleverage.com/,,,"Phoenix, Arizona, United States",USA,,,Other,,
Social Starts,https://www.socialstarts.com/,https://www.linkedin.com/company/social-starts,,"San Francisco, California, United States","USA,Israel,Canada",,,VC,,
Social Venture Circle,http://www.svcimpact.org,https://www.linkedin.com/company/asbnetwork,,,,,,Angel network,,
Socialatom Ventures,https://www.socialatomgroup.com/,,,USA,USA,,,VC,,
SodÃ©ro Gestion,http://www.soderogestion.com/,https://www.linkedin.com/company/sodero-gestion?trk=biz-companies-cym,,,France,,,Other,,
Sodexo Ventures,https://sodexo-ventures.com/,https://www.linkedin.com/company/sodexo/,,France,France,"3. Early Revenue,4. Scaling",,Corporate VC,"$1,000,000 ",
Sofia Fund,https://sofiafund.com/,,,,,,,Angel network,,
Sofilaro,https://www.sofilaro.fr/,https://fr.linkedin.com/company/creditagricolelanguedoc,,,France,,,Other,,
Sofimac Innovation,https://www.sofimacinnovation.com/,,,France,France,2. Prototype,,VC,"$100,000 ",
Sofinnova Partners,https://www.sofinnovapartners.com/,https://www.linkedin.com/company/sofinnova-partners,,"7-11 Boulevard Haussmann, Paris 75009, France","France,Italy,USA,Germany,Netherlands,Canada,Switzerland,UK","3. Early Revenue,4. Scaling,1. Idea or Patent,2. Prototype,5. Growth,6. Pre-IPO","We invest in life sciences startups with a focus on healthcare and sustainability. We look for visionary entrepreneurs developing breakthrough technologies in biotech, biopharma, medtech, and industrial biotech. We proactively source deals, take a lead role, and are most often the first institutional investor in Seed and Series A financings.  ",VC,"$1,000,000 ",
Sofiproteol,https://www.sofiproteol.com/,https://www.linkedin.com/company/9336830?trk=tyah&trkInfo=idx%3A2-1-4%2CtarId%3A1425902280881%2Ctas%3Asofiproteol,,France,France,3. Early Revenue,,VC,"$5,000,000 ",
SoftBank Capital,http://www.softbank.com,,,"Tokyo, Tokyo, Japan","USA,Israel,Canada,Japan",3. Early Revenue,,Corporate VC,,
Softline Venture Partners,http://softlinevp.com/vp/en,https://www.linkedin.com/company/3226428/,,"Moscow, Moscow City, Russian Federation",Russia,,,Corporate VC,,
Solid Ventures,https://www.solidventures.nl/,https://www.linkedin.com/company/solid-ventures/?viewAsMember=true,,Netherlands,Netherlands,,,VC,,
Solon Mack Capital,http://www.solonmack.com,https://www.linkedin.com/company/solon-mack-capital,,"Greenwich, Connecticut, United States",USA,,,Family office,,
Solus Capital by MKB Bank,https://soluscapital.hu/en/,https://www.linkedin.com/company/soluscapital/,,,Hungary,,,Other,,
Soma Capital,https://www.somacap.com/,https://www.linkedin.com/company/soma-capital/,,,USA,,,Other,,
Soma Ventures,https://soma.ventures/,https://linkedin.com/rob-wang-tech,,"5111 Telegraph Ave.  Oakland, CA 94609","Taiwan,China,USA,Canada,Hong Kong,Sweden,Egypt,Norway,UK","3. Early Revenue,2. Prototype","We invest in $1B plus market opportunity.  Business model-scalable, solving a major pain point. Defensible Product - Unique industry knowledge, Network effects. Unit Economics - Viable, high LTV/CAC, with unique business channels. Team - Experienced entrepreneurs with world views.
",VC,"$50,000 ",
Sonae IM,http://www.sonaeim.com/en/,https://www.linkedin.com/company/sonae-im,,"Maia, Porto, Portugal",Portugal,,,Corporate VC,,
Sonder Capital,https://sondercapital.com/,,,,,"2. Prototype,3. Early Revenue",,VC,,
Sony Innovation Fund,http://www.sonyinnovationfund.com/,https://www.linkedin.com/company/11150431/,,"1-7-1 Konan Minato-ku, Tokyo, Japan 108-0075, JP","USA,Israel,Japan","3. Early Revenue,4. Scaling","We invest globally in startups that are adjacent to Sony's core business. Areas include Mobility, Health, Deeptech, Industrial IOT, and others. ",Corporate VC,"$250,000 ",
Sora Capital Corp,https://soracapital.com/,,,,Canada,,,Other,,
Sora Ventures,http://www.sora.vc/,,,Hong Kong,Hong Kong,,,VC,,
SOSV,https://sosv.com/,https://www.linkedin.com/company/sosv/,,"174 Nassau Street, #3000, Princeton, New Jersey 08542, US",USA,"1. Idea or Patent,2. Prototype","We invest in pre-seed deep tech companies through one of our accelerators. Life sciences (synthetic biology, syn bio, healthcare, climate tech, clean tech, therapeutics, drug, food, cell cultured meats, biomanufacturing, neuroscience, etc.)",VC,"$250,000 ",
Sound Media Ventures,https://soundmedia.vc/,https://www.linkedin.com/in/shacharoren/,,,,"2. Prototype,3. Early Revenue",,VC,,
Sound Ventures,http://www.sound-ventures.com/,https://www.linkedin.com/company/sound-ventures/,,"Los Angeles, California, United States",USA,,,Corporate VC,,
SoundBoard Angel Fund,http://www.soundboardangelfund.com/,,,,,,,Angel network,,
Source Capital,https://source-cap.com/,,,,,,,,,
Source Code Capital,https://sourcecodecap.com/en/,,,,,,,Other,,
