Investor name,Website,Linkedin,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
Keensight Capital,https://www.keensightcapital.com/,https://www.linkedin.com/company/keensight-capital,"64 rue de Lisbonne, Paris, France","Belgium,Finland,Denmark,France,Germany,Italy,Spain,Netherlands,Portugal,Sweden,Switzerland,UK","5. Growth,6. Pre-IPO","We invest in profitable companies with high growth potential and revenues in the range of â‚¬10 million to â‚¬300 million. 

Keensight Capital, one of the leading European Growth Buyout firms, is committed to supporting entrepreneurs as they implement their growth strategies. For 20 years, Keensight Capitalâ€™s team of seasoned professionals has leveraged their knowledge of investment and growth industries to invest for the long term.

Drawing on its expertise in the Technology and Healthcare sectors, Keensight identifies the best investment opportunities in Europe and works closely with management teams to develop and achieve their strategic vision. 

",PE fund,"$10,000,000 ","$200,000,000 "
Keiki Capital,https://www.keikicapital.com/,https://www.linkedin.com/company/keiki-capital-llc,"Laguna Beach, CA, United States","USA,Canada,UK","2. Prototype,3. Early Revenue",We invest in early stage tech startups with climate impact.,VC,"$100,000 ","$200,000 "
Keio Innovation Initiative,http://www.keio-innovation.co.jp/page/en.html,,,Japan,,,VC,,
Keiretsu Capital,https://www.keiretsucapital.com/,https://www.linkedin.com/company/keiretsu-capital,,,,,,,
Keiretsu Forum,https://www.keiretsuforum.com/,https://www.linkedin.com/company/spinal-simplicity,"San Francisco, California, United States",USA,,,Other,,
Keiretsu Forum Northwest,https://www.k4northwest.com,http://www.linkedin.com/company/keiretsu-forum?trk=top_nav_home,,,,,,,
Kenex Holdings,http://www.kenex.holdings,,"Chicago, Illinois, United States",USA,,,Family office,,
Kennet Partners,https://kennet.com/,https://www.linkedin.com/company/kennet-partners/,"9 Kingly Street, London, W1B 5PH","UK,USA,France,Germany","4. Scaling,5. Growth",We invest in B2B Saas with a particular interest in capital-efficient businesses,VC,"$8,000,000 ","$30,000,000 "
Kensington Capital Ventures,http://www.kcventures.com/,,"Boston, Massachusetts, United States",USA,,,Family office,,
Kentucky Angels,http://www.kyangels.net/,,,,,,Angel network,,
Kepha Partners,https://kephapartners.com/,,,,,,,,
Kerala Ventures,https://www.kerala.vc/,https://www.linkedin.com/company/kerala-ventures/,"7 rue Puvis de Chavannes, 75017, Paris, France",France,"3. Early Revenue,2. Prototype,1. Idea or Patent","Kerala Ventures is a VC firm investing in early-stage tech startups (SaaS, marketplaces, AI, data, tech-enabled services â€¦) based in France.

Our first investment ranges from â‚¬100K to â‚¬1.5M and our portfolio includes 10 companies (+ 1 successful exit).",VC,"$100,000 ","$1,500,000 "
Kern Venture Group,https://www.kernventuregroup.com/,https://www.linkedin.com/company/kern-venture-group,,,,,Angel network,,
Kernel Capital,https://www.kernelcapitalvc.com/,,,,,,VC,,
Keshif Ventures,https://www.keshif.com/,https://www.linkedin.com/in/tanerh/,,USA,,,Other,,
Keyword Venture Capital,http://keyword.vc/,https://www.linkedin.com/in/juanteijeiro/,,,,,VC,,
Khoob,http://khoob.group/,https://www.linkedin.com/company/khoob,"3rd Floor Kushal House 39 Nehru Place, New Delhi, 110019, IndiaÂ ",India,"1. Idea or Patent,2. Prototype",We invest in interesting early stage Indian companies. ,VC,"$25,000 ","$250,000 "
Khosla Ventures,https://www.khoslaventures.com/,https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Fwww.buzzsprout.com%2F1932889%2F11029698-ben-horowitz-on-building-company-culture,"Menlo Park, California, United States","USA,Israel,Canada,France","3. Early Revenue,4. Scaling",,VC,,
Kibo Ventures,http://kiboventures.com/,https://www.linkedin.com/company/kibo-ventures/,"Calle Zurbano 34, 28010 Madrid","Spain,Portugal,USA,Germany,UK","3. Early Revenue,4. Scaling",We invest in digital consumer and enterprise software. ,VC,"$2,000,000 ","$4,500,000 "
Kickstart Fund,https://kickstartfund.com/,https://www.linkedin.com/company/kickstartfund/,"2750 E Cottonwood Pkwy, STE 160, Cottonwood Heights, UT 84121",USA,"3. Early Revenue,4. Scaling,2. Prototype,1. Idea or Patent","We invest in the boldest entrepreneurs and help them build great companies in the Wild West by backing with capital, community, and expertise for the journey.",VC,"$250,000 ","$2,000,000 "
Kickstart Seed Fund,http://kickstartseedfund.com/,,,,,,VC,,
Kickstart Ventures,http://www.kickstart.ph,https://www.linkedin.com/company/kickstart-ventures-inc-/,"Makati, Manila, Philippines",Philippines,,,Corporate VC,,
Kilick Capital,https://killickcapital.com/,https://www.linkedin.com/company/killick-capital-inc-,Canada,"USA,Canada",,,VC,,
Kima Ventures,https://www.kimaventures.com/,https://www.linkedin.com/company/kima-ventures/,"Paris, France","France,USA,UK,Germany","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in early-stage startups with strong tech DNA, founded by French founders wherever they're in the world. We're sector agnostic and investing one-off tickets of 150kâ‚¬.",VC,"$100,000 ","$200,000 "
Kindred Capital,https://www.kindredcapital.vc/,https://www.linkedin.com/company/kindred-capital-vc,"First Floor, 44-46 Sekforde Street, London, London EC1R0HA, GB","UK,Poland,Germany,Israel,France","3. Early Revenue,2. Prototype",We invest in equitable ventures. Kindred aligns ambitions and achievements with the portfolio. In structure and in spirit. Every single founder that the company backs will become a co-owner of the fund.,VC,"$1,000,000 ","$1,500,000 "
King Capital Partners,http://www.kingcapitalpartners.com/,,"Dallas, Texas, United States",USA,,,Family office,,
King River Capital,https://www.kingriver.co,https://www.linkedin.com/company/king-river-capital,Australia,"Australia,USA",,,VC,"$2,000,000 ",
Kinnevik AB,http://www.kinnevik.com/,https://www.linkedin.com/company/kinnevik/,Sweden,"USA,Israel,Canada",,,VC,,
Kintetsu Venture Partners,http://www.kintetsu-g-hd.co.jp/venture/,,,Japan,,,Corporate VC,,
Kiraboshi Capital,http://kiraboshi-capital.co.jp/,,,Japan,,,VC,,
Kirin Holdings,https://www.kirinholdings.co.jp/english/,,,Japan,,,Corporate VC,,
Kite Ventures,http://www.kiteventures.com/,,,,,,VC,,
Kiva Capital Management,https://kiva.global/,,,,,,Other,,
KiwiVenture Partners,http://www.kiwiventurepartners.com/,https://www.linkedin.com/company/kiwiventure,,USA,,,Other,,
Kizoo Ventures,http://www.kizoo.com/,https://www.linkedin.com/in/migreve/,,,,,VC,,
KK Fund,http://kkfund.co/,,Singapore,Singapore,,,VC,,
KKR,http://www.kkr.com/businesses/private-equity,https://www.linkedin.com/company/kkr/,USA,"USA,Israel,Canada",3. Early Revenue,,VC,,
Kleiner Perkins,https://www.kleinerperkins.com/,,"Menlo Park, California, United States","USA,Israel,Canada,China",3. Early Revenue,,VC,,
Kloeckner Ventures,https://www.kloeckner.ventures/,https://www.linkedin.com/company/kl%C3%B6ckner-%26-co-se,"Berlin, Berlin, Germany",Germany,,,Corporate VC,,
Knight  Capital,https://www.knight.capital/,,,Netherlands,"2. Prototype,3. Early Revenue",,VC,,
Koch Disruptive Technologies,https://kochdisruptivetechnologies.com/,https://www.linkedin.com/company/kochdisruptivetechnologies/,,,"5. Growth,6. Pre-IPO",,VC,,
Kodansya,http://www.kodansha.co.jp/,,,Japan,,,Corporate VC,,
Kodiak Venture Partners,https://www.kodiakvp.com/,,"Wellesley, Massachusetts, United States",USA,,,Other,,
KohFounders,https://kohfounders.com/,,USA,USA,2. Prototype,,VC,,
Kohli Ventures,https://www.kohliventures.com,,UK,"Israel,USA,Canada,UK",3. Early Revenue,,VC,,
Kokopelli Capital,http://www.kokopelli.vc,,,,,,,,
KolegaIndo,http://kolegaindo.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
Konvoy Ventures,https://konvoy.vc/,,,,"2. Prototype,3. Early Revenue",,VC,,
Korelya Capital,http://www.korelyacapital.com/,https://www.linkedin.com/company/korelyacapital/,"87 rue RÃ©aumur, Paris, Ile de France 75002, FR","France,UK,Estonia,Spain,Germany,Netherlands","5. Growth,6. Pre-IPO","We invest in European Tech leaders, typically from Series B and onwards.",VC,"$2,000,000 ",$0 
Kosch Capital Management,http://www.koschcapital.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
KPN Ventures,https://kpnventures.com/,https://www.linkedin.com/company/kpn-ventures/,"Wilhelminakade 123, Rotterdam, Zuid-Holland 3072, NL","Netherlands,Germany,Belgium,UK,France","3. Early Revenue,4. Scaling","We invest in growth sectors connected to our Telecom & ICT activities including:
- Internet of Things (IOT)
- Connected Home
- Over the top (OTT) & mobile services
- Digital Healthcare
- Cyber Security
- Cloud Computing
- Data & Analytics
- Networking Technology",Corporate VC,"$500,000 ","$2,500,000 "
Kreaxi,http://www.kreaxi.com/,https://www.linkedin.com/company/kreaxi/,France,France,"3. Early Revenue,2. Prototype","Regional fund, Seed specialized. All sectors",VC,"$200,000 ","$500,000 "
Kreos Capital,http://www.kreoscapital.com,https://www.linkedin.com/company/kreos-capital/,,,"5. Growth,6. Pre-IPO",,VC,,
Krungsri Finnovate,https://www.krungsrifinnovate.com/en/,https://www.linkedin.com/in/sam-tanskul-347b4545/,"Bangkok, Krung Thep, Thailand",Thailand,,,Corporate VC,,
Krypton Venture Capital,http://www.kryptonvc.com/,https://il.linkedin.com/company/krypton-vc,,,"2. Prototype,3. Early Revenue",,VC,,
Krypton Venture Studio,https://gokrypton.com/,https://www.linkedin.com/company/krypton-venture-studio/,"Marina Del Rey, CA, United States",USA,"3. Early Revenue,4. Scaling,5. Growth,1. Idea or Patent,2. Prototype","We invest in ideas and people that move the world forward first. From ideation to fundraising, we look for leaders who are passionate.

Krypton is a venture studio.",Startup studio,"$25,000 ","$200,000 "
KSP,http://www.ksp.co.jp/en,,,Japan,,,VC,,
KTB Network,http://www.ktbnetwork.com/home/en/main/main.do,,,South Korea,,,Other,,
KTM Ventures,https://www.ktmcapital.com.au,,Australia,Australia,,,VC,,
Kuang-Chi GCI Fund,http://www.kuang-chi.com/en/,,,,"3. Early Revenue,4. Scaling",,VC,,
Kurma Partners,http://www.kurmapartners.com/,https://www.linkedin.com/company/kurma-life-sciences-partners,France,"France,Germany",3. Early Revenue,,VC,,
L'OrÃ©al Bold Ventures,https://www.lorealboldventures.com/,https://www.linkedin.com/company/loreal-bold-ventures,France,France,3. Early Revenue,,Corporate VC,,
L2 Capital,http://l2capital.net/,,,,,,,,
L2 Ventures,http://l2v.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
La Famiglia,https://www.lafamiglia.vc/home/,,Germany,Germany,3. Early Revenue,,VC,,
LabCorp,https://www.labcorp.com/,https://www.linkedin.com/company/labcorp/,,USA,,,Other,,
Labrador Ventures,http://www.labrador.com/,,"Palo Alto, California, United States",USA,,,Other,,
Laconia,https://www.laconiacapitalgroup.com/,https://www.linkedin.com/company/laconiacapitalgroup/,"381 Park Ave South, New York, NY 10016 United States",USA,"3. Early Revenue,4. Scaling,2. Prototype","We invest in B2B software companies revolutionizing legacy industries. We are sector-agnostic, with a geographic focus on Northeast US major markets. As entrepreneurs ourselves, we focus on GTM acceleration, operational execution, and capital strategy. With our founder-focused DNA, concentrated portfolio, and disciplined investment process, we help entrepreneurs build category-leading companies.",VC,"$500,000 ","$2,000,000 "
Lafayette Square,https://www.lafayettesquare.com/,https://www.linkedin.com/company/lafayettesquare,"New York, United States",USA,"3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in impact-driven companies that are pushing us towards a more inclusive future.,PE fund,"$50,000 ","$10,000,000 "
Lakehouse Ventures,https://lakehouse.vc/,,,,,,,,
Lakeside Virtual Family Office,http://lakesidevfo.com/,,"Toluca Lake, California, United States",USA,,,Family office,,
Lakestar Ventures,https://www.lakestar.com/,https://www.linkedin.com/company/lakestar-vc,Switzerland,USA,3. Early Revenue,,VC,,
Lamp Post Group,https://www.lamppostgroup.com/,,,USA,,,Other,,
Landa Ventures,http://www.landaventures.com/,,,,"5. Growth,6. Pre-IPO",,VC,,
Landmark Angels,http://www.landmarkangels.com/,,,,,,Angel network,,
Landscape Capital,https://www.landscapecapital.com/,,,USA,,,Other,,
Lansdowne Partners,https://www.lansdownepartners.com/,,UK,UK,,,VC,,
Lanta Digital Ventures,http://lantacapital.com/,http://es.linkedin.com/in/angelgarciabcn,,,"2. Prototype,3. Early Revenue",,VC,,
Lanzame Capital,http://lanzame.es/,https://www.linkedin.com/company/2617829?trk=vsrp_companies_cluster_name&trkInfo=VSRPsearchId%3A1236609381413200305008%2CVSRPtargetId%3A2617829%2CVSRPcmpt%3Acompanies_cluster,,,,,VC,,
Las Olas Venture Capital,https://www.lasolasvc.com/,https://www.linkedin.com/company/las-olas-venture-capital,"300 SW 1st Ave, Suite 155, Fort Lauderdale, FL 33301, United States",USA,"3. Early Revenue,4. Scaling",We invest in US-based B2B vertical software and software-enabled marketplaces with early signs of product/market fit.,VC,"$250,000 ","$2,000,000 "
Last Mile Ventures,http://lastmileventures.co.in/,,,,"2. Prototype,3. Early Revenue",,VC,,
Lateral Capital,http://www.latcap.co,,,,,,,,
Latitude,https://www.latitudeim.com/,,,UK,,,VC,,
Lattice Ventures,http://www.lattice.vc/,,,,"2. Prototype,3. Early Revenue",,VC,,
Launch,https://launch.co/,,"San Francisco, California, United States",USA,,,Angel network,,
Launch Fund,http://thelaunchfund.co,,,,,,VC,,
Launch NY,https://launchny.org/,https://www.linkedin.com/company/launch-ny,"Buffalo, New York, United States",USA,,,Other,,
Launch Ventures,https://www.launch.vc/,https://www.linkedin.com/in/raywalia/,,,,,Other,,
LaunchBio,https://www.launchbio.org/,https://www.linkedin.com/company/launchbio-inc.,,,,,Angel network,,
LaunchCapital,https://www.launchcapital.com/,,,USA,,,Other,,
Launchpad Digital Health,http://www.launchpdh.com/,,,,,,,,
Launchpad Venture Group,http://www.launchpadventuregroup.com/,https://www.linkedin.com/company/launchpad-venture-group/,,,,,Angel network,,
Lavi Fund,http://lavifund.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
Lavrock Ventures,https://lavrockvc.com/,https://www.linkedin.com/company/lavrock-ventures/,,,,,,,
LBJ Holding,http://www.lbjadvisors.com,,"Austin, Texas, United States",USA,,,Family office,,
LDR Ventures,http://www.ldrventures.com,https://www.linkedin.com/company/ldr-ventures/,"Los Angeles, California, United States",USA,,,Family office,,
LDV Capital,https://www.ldv.co/,https://www.linkedin.com/company/ldv-capital/,"111 East 14th Street, #102, New York, NY 10003, USA","USA,Canada,UK,France,Germany,Spain,Italy,Poland,Ukraine,Russia,Norway,Switzerland,Sweden,Denmark,Estonia,Israel","2. Prototype,1. Idea or Patent","We invest in visual technology startups (think computer vision, machine vision, photo, video, sensors, and pretty much anything that uses visual data of some sort) in the very earliest of stages (we often invest pre-incorporation) across sectors and industries in North America, Europe, and Israel.",VC,"$500,000 ","$1,200,000 "
Lea Partners,https://www.leapartners.de/en/,https://www.linkedin.com/company/l-ea-private-equity-gmbh,"An der RaumFabrik 10, Karlsruhe, 76227, DE","Germany,Switzerland,Austria","3. Early Revenue,4. Scaling",We invest in software and deep-tech companies that challenge the status quo by building 10x better solutions or disrupting the market. Product-Market fit with traction needed.,VC,"$1,000,000 ","$5,000,000 "
Lead Edge,http://www.leadedgecapital.com/,https://www.linkedin.com/company/alibaba-group/,USA,"USA,Israel,Canada,France",3. Early Revenue,,VC,,
Lead Ventures,https://leadventures.eu/,https://www.linkedin.com/company/leadventures.eu,Hungary,Hungary,3. Early Revenue,,VC,,
Leaders Fund,https://www.leaders.vc/,https://www.linkedin.com/company/leaders-fund/,"20 Eglinton Ave W, Toronto, Ontario M4R 1K8, CA","Canada,USA,Israel","3. Early Revenue,4. Scaling,5. Growth",We invest in B2B SaaS companies across North America and Israel.,VC,"$5,000,000 ","$20,000,000 "
Leading Edge Ventures,http://www.leadingedgevc.com/,https://www.linkedin.com/company/leading-edge-ventures,,,"2. Prototype,3. Early Revenue",,VC,,
LeadX Capital Partners,https://leadxcapital.com,https://www.linkedin.com/company/leadx-capital-partners/,"MÃ¼nchen, Bayern, Germany",Germany,,,Corporate VC,,
Lean Fund,http://www.leanfund.com/,http://www.linkedin.com/in/benoitlips,,,,,VC,,
Lean Investments,http://www.leaninvestments.com/,,,,,,VC,,
Leap Global Partners,http://www.leapglobalpartners.com/,https://www.linkedin.com/in/romanleal/,,,,,,,
Leap Venture Studio,https://www.leapventurestudio.com/,https://www.linkedin.com/company/leapventure/,"Portland, Oregon, United States",USA,,,Corporate VC,,
LeapFrog Investments,https://leapfroginvest.com/,http://www.linkedin.com/company/leapfrog-investments,,,,,Other,,
Leaps by Bayer,https://leaps.bayer.com/,https://www.linkedin.com/company/leapsbybayer,Germany,"Israel,USA,Canada,Germany",3. Early Revenue,,Corporate VC,,
Learn Capital,http://www.learncapital.com/,https://www.linkedin.com/company/learn-capital,"San Mateo, California, United States",USA,,,Other,,
LearnLaunch Accelerator,http://learnlaunch.com/,https://www.linkedin.com/company/2992197/,,,"2. Prototype,3. Early Revenue",,,,
Leet Capital,http://leet.capital/,https://www.linkedin.com/company/1337ventures,"C-19-08, KL Trillion, 50400 Kuala Lumpur, Malaysia",Malaysia,"4. Scaling,5. Growth,6. Pre-IPO","We invest in high potential growth scale companies using equity crowd funding. We are licensed by the Securities Commission, Malaysia. ",Other,$0 ,"$4,800,000 "
LeFonds by FrenchFounders,https://lefonds.vc/,https://www.linkedin.com/showcase/lefonds/,"27 W 20th St., Suite 800, New York, New York 10011, US","USA,France,Canada,UK,Belgium,Germany,Switzerland,Netherlands,Spain,Portugal","4. Scaling,3. Early Revenue","We invest in early-stage ventures.

- A unique positioning filling a combined network & operation gap when going global. 

- Cross-border experience to support portfolio companies.

- Sector Agnostic investments: a diversified investment strategy B2B and B2C cross sectors in private technology companies.

- Within FrenchFounders Inc., we leverage the fantastic network of 4'000+ members, 250+ Investors worldwide for deal flow and portfolio support with a post fundraising program.

Success going global lies in a calculated Scale-Up plan sharply executed.

LeFonds by FrenchFounders is an early-stage investor for Tech companies going global.

We are a first-stage venture partner focused on investing in people who create solutions or products that satisfy identified & actionable market needs.

LeFonds by FrenchFounders is a catalyst for Startups with French-speaking co-founders who have global ambitions.",VC,"$200,000 ","$800,000 "
Legacy Ventures,http://LegacyV.com,https://www.linkedin.com/company/legacyv/,"Boca Raton, Florida, United States",USA,,,Family office,,
Legal & General Capital,http://www.legalandgeneralcapital.com/,,,,,,Corporate VC,,
Legend Capital,http://www.legendcapital.com.cn/,https://www.linkedin.com/company/legend-capital/,China,China,3. Early Revenue,,VC,,
Legend Star,http://www.legendstar.com.cn/home/about?lang=en,,,China,,,Other,,
Lego Ventures,https://legoventures.com/,https://www.linkedin.com/showcase/lego-ventures/,"Billund, Denmark","USA,UK,Denmark,Sweden,Finland,France,Germany,Spain,Italy,China,Netherlands,Switzerland,Norway","3. Early Revenue,4. Scaling,2. Prototype",We invest in start-ups that embody the idea of 'learning through play' and help build 21st Century Skills across Edtech and Gaming sectors.,Corporate VC,"$1,000,000 ","$10,000,000 "
Lemnos,https://lemnos.vc/team/,https://www.linkedin.com/in/helenzelman,USA,USA,2. Prototype,,VC,"$250,000 ",
Lemonade Stand,https://lemonadestand.ee,https://www.linkedin.com/company/lemonade-stand-vc/,"Tallinn, Estonia","Estonia,Latvia,Lithuania,Poland,Ukraine,Czech Republic,Croatia,Romania,Slovenia,Slovakia","2. Prototype,3. Early Revenue","We invest in Baltic and East European founders working on impactful B2B software solutions (also pre-product, pre-revenue stage).",Family office,"$50,000 ","$300,000 "
Leo Foundation,http://leo-foundation.org/en/,https://www.linkedin.com/company/leo-foundation/,Denmark,"Israel,USA,Canada",3. Early Revenue,,Corporate VC,,
LEO Innovation Lab,http://leoinnovationlab.com/,https://www.linkedin.com/company/leo-innovation-lab,"Copenhagen, Hovedstaden, Denmark",Denmark,,,Corporate VC,,
Leonard,https://leonard.vinci.com,https://www.linkedin.com/company/weareleonard/,"6 place du Colonel Bourgoin, Paris, 75012, France ",France,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in early stage startups solving the challenges of future cities in the verticals of construction, real estate, energy and mobility ",Corporate VC,"$70,000 ","$70,000 "
Leonis Investissement,https://leonis.vc/,https://www.linkedin.com/company/leonis-vc/,"69, Rue Dunois, Paris, ÃŽle-de-France 75013, FR",USA,"3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in US-based startups with traction and revenue,Angel network,"$400,000 ","$1,000,000 "
Leorsa Innovations,http://leorsavc.com/,https://www.linkedin.com/company/leorsa-innovations/,"Saint Petersburg, Saint Petersburg City, Russian Federation",Russia,,,Corporate VC,,
Lerer Hippeau,https://www.lererhippeau.com/,https://www.linkedin.com/company/17882015/,"New York, New York, United States",USA,,,Other,,
Lerner Enterprises,http://www.lerner.com,https://www.linkedin.com/company/lerner-enterprises/,"Rockville, Maryland, United States",USA,,,Family office,,
Lets Venture,https://letsventure.com/,https://www.linkedin.com/company/letsventure,India,India,,,VC,,
Level 2 Partners,https://level2partners.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
Leveraged Green Energy,http://www.lgefund.com/,,,,,,,,
Leyden Ventures,https://www.leyden.vc/,https://www.linkedin.com/company/71098211,"Emirates Towers, Dubai, UAE",USA,"3. Early Revenue,2. Prototype,1. Idea or Patent",We invest in US-based startups leveraging software. Broad focus. B2B preference. ,VC,"$50,000 ","$250,000 "
LG Technology Ventures,http://www.lgtechventures.com/,https://www.linkedin.com/company/lgtechventures/,"Santa Clara, California, United States",USA,,,Corporate VC,,
LGBT Capital,http://www.lgbt-capital.com/,https://www.linkedin.com/company/lgbt-capital/about,,,,,VC,,
Liav Fund,http://www.liavfund.com,,,,"2. Prototype,3. Early Revenue",,VC,,
Liberation Capital,http://www.liberationcapital.com/,,,,,,,,
Libertad Ventures,http://www.libertad.gov.il,,,,"2. Prototype,3. Early Revenue",,VC,,
Liberty City Ventures,https://www.libertycityventures.com/,,,USA,,,Other,,
Liberty Global Ventures,https://www.libertyglobal.com/operations/ventures/,https://www.linkedin.com/company/liberty-global/,"Englewood, Colorado, United States",USA,,,Corporate VC,,
Liberty Hall Capital,https://www.libertyhallcapital.com/,https://www.linkedin.com/company/liberty-hall-capital-partners/about/,USA,"Israel,USA,Canada",3. Early Revenue,,VC,,
Liberty Mutual Strategic Ventures,http://libertymutual.com/strategicventures,https://www.linkedin.com/in/rmactough,"Boston, Massachusetts, United States",USA,,,Corporate VC,,
Life Science Angel,https://www.lifescienceangels.com/,,,USA,,,Other,,
Lifeline Ventures,http://www.lifelineventures.com/,,Finland,Finland,3. Early Revenue,,VC,,
Light Warrior Group,https://lightwarrior.com/,,Australia,Australia,,,Family office,,
Lighthouse Ventures,https://lhv.vc/,https://www.linkedin.com/company/lighthouse-ventures-prague,,UK,,,VC,,
Lightship Capital,https://www.lightship.capital/,https://www.linkedin.com/company/lightship-capital/,"1311 Vine Street, Cincinnati, OH 4520",USA,"3. Early Revenue,4. Scaling","We invest in underrepresented founders across the Midwest and South building companies in AI/ML, Healthtech, CPG, Ecommerce, and Environmental Sustainability with existing revenue traction.",VC,"$250,000 ","$500,000 "
Lightspeed China Partners,http://www.lightspeedcp.com/,,,,"4. Scaling,5. Growth",,VC,,
Lightspeed India Partners,https://www.lsip.com,https://www.linkedin.com/company/lightspeed-venture-partners,,,"3. Early Revenue,4. Scaling",,VC,,
Lightstone Ventures,https://www.lightstonevc.com/,,USA,"Israel,USA,Canada",3. Early Revenue,,VC,,
Lilly Ventures,http://www.lillyventures.com,,"Indianapolis, Indiana, United States",USA,,,Corporate VC,,
Lime Rock New Energy,https://www.lrnewenergy.com/,https://www.linkedin.com/company/lime-rock-new-energy,,,,,,,
Limousin Participations,http://www.limousin-participations.fr/,,,France,,,Other,,
LINE Ventures,https://lineventurescorp.com/en/,,"Tokyo, Tokyo, Japan",Japan,,,Corporate VC,,
Link Ventures,https://www.linkventures.com/,,,,"3. Early Revenue,4. Scaling",,VC,,
Linse Capital,https://www.linsecapital.com/,,,,,,,,
Lionbird VC,https://www.lionbird.com/,https://www.linkedin.com/company/2598138/,Israel,"USA,Israel",3. Early Revenue,,VC,,
LionRock Capital,http://www.lionrockcapitalhk.com/,,,Hong Kong,,,VC,,
Liontree Advisors,https://www.liontree.com/,,,,,,Other,,
Liquid 2 Ventures,http://liquid2.vc/,https://www.linkedin.com/authwall?trk=gf&trkInfo=AQHyw6PUCpEKwwAAAXQiYLfwMhW5uL786xBULB7pOOEfm47SCZRS0EEeBJDf5CepD2wGggPFlPRio3_G9N9QYRLtDpkKVMa9S-nDL74UI9u-YS6ZlyEiFAT6p6Ef8YnPseysgzc=&originalReferer=https://liquid2.vc/&sessionRedirect=https%3A%2F%2Fwww.linkedin.com%2Fin%2Fjoe-montana-464701b,"San Francisco, California, United States",USA,,,Other,,
Listen Ventures,https://www.listen.co/,https://www.linkedin.com/company/listenventures,,,"2. Prototype,3. Early Revenue",,VC,,
Little Fish Capital,https://littlefish.vc/,https://www.linkedin.com/company/little-fish-group/about/,Australia,Australia,,,VC,"$500,000 ",
Living Cities,https://www.livingcities.org/,https://www.linkedin.com/company/living-cities/,,,,,Other,,
Livingbridge,https://www.livingbridge.com/,https://www.linkedin.com/company/livingbridge,Australia,"Australia,USA",,,Other,,
LMI Ventures,https://www.lmi.org/,https://www.linkedin.com/company/lmi,,,"2. Prototype,3. Early Revenue",,VC,,
Local Globe,https://localglobe.vc/,https://www.linkedin.com/company/localglobe,UK,"UK,France",3. Early Revenue,,VC,,
Lockheed Martin Ventures,http://www.lockheedmartin.com/us/who-we-are/lockheed-martin-ventures.html,https://www.linkedin.com/company/lockheed-martin,"Bethesda, Maryland, United States",USA,,,Corporate VC,,
Locus Ventures,https://www.locus.vc/,,,,"2. Prototype,3. Early Revenue",,VC,,
Loeb.nyc,https://www.loeb.nyc/,http://www.linkedin.com/company/1988724,"New York, New York, United States",USA,,,Corporate VC,,
Lofty Ventures,http://loftyventures.com/,https://www.linkedin.com/company/loftyventures/,,,"2. Prototype,3. Early Revenue",,VC,,
Logo Ventures,https://www.logo.com.tr,https://www.linkedin.com/company/logo-yazilim/,"Istanbul, Istanbul, Turkey",Turkey,,,Corporate VC,,
Lombardstreet Ventures,https://www.lombardstreet.io/,https://www.linkedin.com/company/lombardstreet.io/,"585 Glenwood Ave, Menlo Park, CA 94025, United States",USA,"3. Early Revenue,2. Prototype,4. Scaling","We invest in tech companies based in Silicon Valley with distributed teams, with initial traction (3-6 months).

We are interested in SaaS, Dev tools, Fintech, Web3, Space, Foodtech, Agtech, but we really have a founder-focused approach (we are open to invest in any industry if we like the team).

We invest only in US based C Corp with US traction.",VC,"$300,000 ","$500,000 "
London Co-investment Fund,http://www.lcif.co/,https://www.linkedin.com/cws/share?url=https%3A%2F%2Fwww.massatloan.org%2F,,,,,VC,,
2050 Capital,https://2050cap.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
London Venture Partners,https://londonvp.com/,https://www.linkedin.com/company/london-venture-partners/,"7 Portland Mews, London W1F 8JQ","USA,UK,Denmark,Sweden,Finland,Canada,Germany,France,Spain,Italy,Netherlands,Belgium,Israel,Croatia,Turkey,Estonia,Latvia,Lithuania,Czech Republic,Cyprus,Greece,Hungary,Iceland,Ireland,Norway,Switzerland,Serbia,Slovakia,Slovenia","2. Prototype,3. Early Revenue,1. Idea or Patent",We invest in gaming companies. ,VC,"$500,000 ","$2,000,000 "
Long Island Angel Network,http://www.liangels.net/,,,,,,Angel network,,
Long Ventures Partners,https://www.longvp.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
Longliv Ventures,http://longliv-ventures.com/,,,,"5. Growth,6. Pre-IPO",,VC,,
Longwall Venture Partners,http://www.longwallventures.com/,,UK,UK,3. Early Revenue,,VC,,
Longwood Fund,http://www.longwoodfund.com,https://www.linkedin.com/company/longwoodfund,,,,,,,
Longworth Venture Partners,http://www.longworth.com/,,"Waltham, Massachusetts, United States",USA,,,Other,,
